session,date,start_time,end_time,full_name,title,agree_to_publish_talk_and_info,summary_research_interests,agree_to_photo_in_program,agree_to_livestream_talk,agree_to_cc_license_talk,primary_affiliation,secondary_affiliation,tertiary_affiliation
Towards Precision Nutrition - Improving Individual and Population Health,2022-09-12,13:45,14:15,Frank Hu,Promises and challenges of precision nutrition in disease prevention and management,NA,"Dr. Hu's research has focused on epidemiology and prevention of obesity and cardiometabolic diseases. His work has contributed substantially to current public health policies for global chronic disease prevention. In addition, his research has broken new ground in linking novel biomarkers (e.g., adipokines and metabolites) and gene-diet interactions to the risk of obesity and type 2 diabetes. Dr. Hu has been at the forefront of applying metabolomics techniques to nutritional epidemiologic studies and intervention trials. Currently, he serves as the PI of Dietary Biomarker Development Center at Harvard University",NA,NA,NA,Harvard T. H. Chan School of Public Health,Brigham and Women's Hospital and Harvard Medical School,NA
Towards Precision Nutrition - Improving Individual and Population Health,2022-09-12,14:15,14:45, Paul Franks,Towards Precision Nutrition- Improving Individual and Population Health,"Yes, I consent.","I am interested in i) the intersection of epidemiology and technology - next-generation epidemiology, ii) the deployment of this approach across diverse populations, and iii) the use of these data to develop precision medicine. I am also interested in addressing health disparities, especially those linked to ethnicity.","Yes, I consent.","Yes, I consent.","Yes, I want to publish a recording of my scientific presentation under the CC (BY-NC-SA) license on the conference website.",Novo Nordisk Foundation,Lund University Diabetes Center,Harvard T. H. Chan School of Public Health
Towards Precision Nutrition - Improving Individual and Population Health,2022-09-12,14:45,15:15,Marju Orho-Melander,The gut microbiome and plasma metabolome in cardiometabolic disease,"Yes, I consent.","With main focus in cardiometabolic diseases, Dr Orho-Melander has successfully moved to new areas of research during her career starting with experimental endocrinology and moving to genetic epidemiology, nutrition epidemiology and gene-diet interaction studies, and today utilizing and combining this interdisciplinary prior knowledge in studies of the gut microbiome, diet and circulating biomarkers in large population-based cohorts. The longer-term purpose of the work of Orho-Melanders group is to provide novel intervention strategies aiming to more effective prevention strategies of cardiometabolic diseases.","Yes, I consent.","Yes, I consent.","Yes, I want to publish a recording of my scientific presentation under the CC (BY-NC-SA) license on the conference website.",Lund University,NA,NA
Towards Precision Nutrition - Improving Individual and Population Health,2022-09-12,15:15,15:45,"Andrew T. Chan, ",Leveraging the gut microbiome for precision prevention of cancer,"Yes, I consent.","Dr. Chan's research focuses on chronic digestive diseases, including gastrointestinal cancer (colorectal, esophageal, pancreatic), inflammatory bowel disease, diverticulitis, and gastrointestinal bleeding. He utilizes molecular approaches encompassing genetic, metabolomic, proteomic, and biochemical platforms applied to populations ranging from large cohort studies to small biomarker-driven clinical trials. He also has a major effort in investigating the oral and gut microbiome as a determinant and mediator of chronic disease.","Yes, I consent.","Yes, I consent.","Yes, I want to publish a recording of my scientific presentation under the CC (BY-NC-SA) license on the conference website.",Massachusetts General Hospital,Harvard Medical School,Harvard T. H. Chan School of Public Health
Healthy dietary patterns - Understanding underlying mechanisms through OMICs approaches,2022-09-12,16:00,16:30,Walter Willett,Nutrition epidemiology provides evidence for improving human and planetary health through healthy dietary patterns,"Yes, I consent.","Dr. Willett has focused much of his work over the last 40 years on the development and evaluation of methods, using both questionnaire and biochemical approaches, to study the effects of diet on the occurrence of major diseases. He has applied these methods starting in 1980 in the Nurses' Health Studies I and II and the Health Professionals Follow-up Study. Together, these cohorts, which include nearly 300,000 men and women with repeated dietary assessments, provide the most detailed information on the long-term health consequences of food choices. Dr. Willett's research has shaped the methods in nutrition epidemiology and public health nutrition policies over the last decades.","Yes, I consent.","Yes, I consent.","Yes, I want to publish a recording of my scientific presentation under the CC (BY-NC-SA) license on the conference website.",Harvard T. H. Chan School of Public Health,NA,NA
Healthy dietary patterns - Understanding underlying mechanisms through OMICs approaches,2022-09-12,16:30,17:00,Miguel A. Martinez-Gonzalez,Understanding the health benefits of the Mediterranean diet interventions on cardiometabolic risk prevention through metabolomics profiling,"Yes, I consent.","Dr. Martínez-González is a chronic disease epidemiologist with >30 years of experience studying chronic diseases' nutritional, lifestyle, clinical, metabolomic, and genetic determinants. He has designed and directed large cohorts, such as the SUN ('Seguimiento Universidad de Navarra') cohort (1999-2022, with >23,000 participants), and nutritional intervention trials fro primary cardiovascular prevention, such as PREDIMED trial (2003-2013, with 7,447 participants) and PREDIMED-Plus  trial (2013-2022, with 6,874 participants).","Yes, I consent.","Yes, I consent.","Yes, I want to publish a recording of my scientific presentation under the CC (BY-NC-SA) license on the conference website.",University of Navarra,Harvard T. H. Chan School of Public Health,CIBEROBN
Healthy dietary patterns - Understanding underlying mechanisms through OMICs approaches,2022-09-12,17:00,17:30,Shilpa N Bhupathiraju,The imprint of ethnically diverse dietary patterns on the metabolome,"Yes, I consent.","Dr. Bhupathiraju's primary research interests include examining the role of diet and lifestyle in preventing cardiometabolic diseases, especially among high-risk groups such as Hispanics and South Asians. Her research integrates diet, metabolomics, and proteomics data in prospective cohort studies to understand mechanisms underlying diet-disease associations and to identify novel biomarkers of dietary intake.","Yes, I consent.","Yes, I consent.","Yes, I want to publish a recording of my scientific presentation under the CC (BY-NC-SA) license on the conference website.",Harvard,NA,NA
Healthy dietary patterns - Understanding underlying mechanisms through OMICs approaches,2022-09-12,17:30,18:00,Rikard Landberg,OMICs to understand the metabolic benefits of the Nordic diet and its key components,"Yes, I consent.","Dr. Landberg studies the preventive role of plant-based foods using observational- and intervention studies integarating OMICs techniques. Metabolomics is a key technique in Dr. Landbergs' research program and it is developed and applied for discovery and validation of exposure and prediction biomarkers, and for molecular phenotyping as the basis for tailored dietary strategies towards precision nutrition. Novel biomarkers from his lab are extensively used all over the world.","Yes, I consent.","Yes, I consent.","Yes, I want to publish a recording of my scientific presentation under the CC (BY-NC-SA) license on the conference website.",Chalmers University of Technology,NA,NA
"Deep molecular phenotyping in cohorts and trials - Elucidating the interplay between diet, metabolism, and disease risk",2022-09-13,8:30,8:55,Matthias B Schulze,Deep molecular phenotyping in the EPIC-Potsdam study provides insights into cardiometabolic disease etiology,NA,"Dr. Schulze's research focuses on dietary risk factors for type 2 diabetes, dietary pattern analysis, biomarkers of nutritional intake, gene-diet interaction, and biochemical and genetic predictors of diabetes and its complications. Further research interests include risk prediction models and healthy metabolic obesity. Dr. Schulze is the Principal Investigator of the EPIC-Potsdam study and a center Principal Investigator of the NAKO Health Study.",NA,NA,NA,German Institute of Human Nutrition,NA,NA
"Deep molecular phenotyping in cohorts and trials - Elucidating the interplay between diet, metabolism, and disease risk",2022-09-13,8:55,9:20,Qi Sun,The interplay between habitual diet and human gut microbiome on cardiometabolic health,"Yes, I consent.","Dr. Sun's primary research interests are identifying and examining biomedical risk factors, including dietary biomarkers, for type 2 diabetes, obesity, and cardiovascular disease. His research is primarily based on large-scale cohort studies, including the Nurses' Health Study I and II and the Health Professionals Follow-up Study. Dr. Sun is also interested in environmental pollutants, especially those from dietary sources, in the etiology of obesity and type 2 diabetes.","Yes, I consent.","Yes, I consent.","Yes, I want to publish a recording of my scientific presentation under the CC (BY-NC-SA) license on the conference website.",Harvard T. H. Chan School of Public Health,Brigham and Women's Hospital and Harvard Medical School,NA
