speaker_id,full_name,summary_research_interests,affiliations
frank-hu,Frank Hu,"Dr. Hu's research has focused on epidemiology and prevention of obesity and cardiometabolic diseases. His work has contributed substantially to current public health policies for global chronic disease prevention. In addition, his research has broken new ground in linking novel biomarkers (e.g., adipokines and metabolites) and gene-diet interactions to the risk of obesity and type 2 diabetes. Dr. Hu has been at the forefront of applying metabolomics techniques to nutritional epidemiologic studies and intervention trials. Currently, he serves as the PI of Dietary Biomarker Development Center at Harvard University",Harvard T. H. Chan School of Public Health; Brigham and Women's Hospital and Harvard Medical School
paul-franks,Paul Franks,"I am interested in i) the intersection of epidemiology and technology - next-generation epidemiology, ii) the deployment of this approach across diverse populations, and iii) the use of these data to develop precision medicine. I am also interested in addressing health disparities, especially those linked to ethnicity.",Novo Nordisk Foundation; Lund University Diabetes Center; Harvard T. H. Chan School of Public Health
marju-orho-melander,Marju Orho-Melander,"With main focus in cardiometabolic diseases, Dr Orho-Melander has successfully moved to new areas of research during her career starting with experimental endocrinology and moving to genetic epidemiology, nutrition epidemiology and gene-diet interaction studies, and today utilizing and combining this interdisciplinary prior knowledge in studies of the gut microbiome, diet and circulating biomarkers in large population-based cohorts. The longer-term purpose of the work of Orho-Melanders group is to provide novel intervention strategies aiming to more effective prevention strategies of cardiometabolic diseases.",Lund University
andrew-t-chan,Andrew T. Chan,"Dr. Chan's research focuses on chronic digestive diseases, including gastrointestinal cancer (colorectal, esophageal, pancreatic), inflammatory bowel disease, diverticulitis, and gastrointestinal bleeding. He utilizes molecular approaches encompassing genetic, metabolomic, proteomic, and biochemical platforms applied to populations ranging from large cohort studies to small biomarker-driven clinical trials. He also has a major effort in investigating the oral and gut microbiome as a determinant and mediator of chronic disease.",Massachusetts General Hospital; Harvard Medical School; Harvard T. H. Chan School of Public Health
walter-willett,Walter Willett,"Dr. Willett has focused much of his work over the last 40 years on the development and evaluation of methods, using both questionnaire and biochemical approaches, to study the effects of diet on the occurrence of major diseases. He has applied these methods starting in 1980 in the Nurses' Health Studies I and II and the Health Professionals Follow-up Study. Together, these cohorts, which include nearly 300,000 men and women with repeated dietary assessments, provide the most detailed information on the long-term health consequences of food choices. Dr. Willett's research has shaped the methods in nutrition epidemiology and public health nutrition policies over the last decades.",Harvard T. H. Chan School of Public Health
miguel-a-martinez-gonzalez,Miguel A. Martinez-Gonzalez,"Dr. Martínez-González is a chronic disease epidemiologist with >30 years of experience studying chronic diseases' nutritional, lifestyle, clinical, metabolomic, and genetic determinants. He has designed and directed large cohorts, such as the SUN ('Seguimiento Universidad de Navarra') cohort (1999-2022, with >23,000 participants), and nutritional intervention trials fro primary cardiovascular prevention, such as PREDIMED trial (2003-2013, with 7,447 participants) and PREDIMED-Plus  trial (2013-2022, with 6,874 participants).",University of Navarra; Harvard T. H. Chan School of Public Health; CIBEROBN
shilpa-n-bhupathiraju,Shilpa N Bhupathiraju,"Dr. Bhupathiraju's primary research interests include examining the role of diet and lifestyle in preventing cardiometabolic diseases, especially among high-risk groups such as Hispanics and South Asians. Her research integrates diet, metabolomics, and proteomics data in prospective cohort studies to understand mechanisms underlying diet-disease associations and to identify novel biomarkers of dietary intake.",Harvard
rikard-landberg,Rikard Landberg,"Dr. Landberg studies the preventive role of plant-based foods using observational- and intervention studies integarating OMICs techniques. Metabolomics is a key technique in Dr. Landbergs' research program and it is developed and applied for discovery and validation of exposure and prediction biomarkers, and for molecular phenotyping as the basis for tailored dietary strategies towards precision nutrition. Novel biomarkers from his lab are extensively used all over the world.",Chalmers University of Technology
matthias-b-schulze,Matthias B Schulze,"Dr. Schulze's research focuses on dietary risk factors for type 2 diabetes, dietary pattern analysis, biomarkers of nutritional intake, gene-diet interaction, and biochemical and genetic predictors of diabetes and its complications. Further research interests include risk prediction models and healthy metabolic obesity. Dr. Schulze is the Principal Investigator of the EPIC-Potsdam study and a center Principal Investigator of the NAKO Health Study.",German Institute of Human Nutrition
qi-sun,Qi Sun,"Dr. Sun's primary research interests are identifying and examining biomedical risk factors, including dietary biomarkers, for type 2 diabetes, obesity, and cardiovascular disease. His research is primarily based on large-scale cohort studies, including the Nurses' Health Study I and II and the Health Professionals Follow-up Study. Dr. Sun is also interested in environmental pollutants, especially those from dietary sources, in the etiology of obesity and type 2 diabetes.",Harvard T. H. Chan School of Public Health; Brigham and Women's Hospital; Harvard Medical School
karl-michaelsson,Karl Michaëlsson,"Professor of medical epidemiology, Department of Surgical Sciences, Uppsala University; Director of the EpiHub at Uppsala University; Vice-dean for research infrastructures, and Director of Swedish Infrastructure for Medical Population-based Life-course and Environmental Research (SIMPLER)Dr. Michaëlsson has a broad interest in late-onset disease epidemiology with a primary focus on preventing fragility fractures. He is the principal investigator of SIMPLER, a Swedish national research infrastructure (https://simpler4health.se/). This national infrastructure, initiated in 1987, includes information about 110,000 men and women, a biobank with DNA, blood, urine, fat biopsy, and stool samples, and a growing component of OMICs data. Over the years, the participants have undergone repeated examinations, and the SIMPLER database has been regularly updated against national registries.","Department of Surgical Sciences, Unit of Medical Epidemiology, Uppsala University"
marta-guasch-ferre,Marta Guasch-Ferré,"Dr. Guasch-Ferré's research focuses on investigating the role of dietary and lifestyle factors in chronic diseases, specifically cardiovascular disease and type 2 diabetes. She has incorporated high-throughput –omics techniques, metabolomics, and genetics, into traditional epidemiological analysis to gain insights into underlying mechanisms that could explain the associations of diet and lifestyle factors with cardiovascular disease and type 2 diabetes.","Harvard T. H. Chan School of Public Health; Channing Division of Internal Medicine, Harvard Medical School"
clemens-wittenbecher,Clemens Wittenbecher,"Dr. Wittenbecher's research leverages molecular profiling data, especially metabolomics, to elucidate the link between dietary composition and cardiometabolic disease risk. Core methods include data-driven network analyses, risk prediction, machine learning, and causal modeling approaches in prospective cohorts and diet intervention trials. Dr. Wittenbecher's research aims to strengthen the evidence for the causal role of diet composition in cardiometabolic disease etiology and develop biomarkers for precision nutrition approaches.","Division of Food and Nutrition Sciences, SciLifeLab, Chalmers University of Technology"
